eventId,qtr,qtr_rem,timestamp,x,y,z,rim
2,1.0,704.39,1451765444132.0,88.46428,25.2616,9.98846,2.0
4,1.0,677.06,1451765471092.0,68.6456,25.26228,2.63022,2.0
9,1.0,647.19,1451765528929.0,85.62582,34.1345,8.94071,2.0
14,1.0,605.75,1451765570368.0,12.84982,17.41815,13.81932,1.0
19,1.0,584.39,1451765744000.0,16.0092,11.87653,10.57158,1.0
22,1.0,561.82,1451765783479.0,87.3283,31.3248,8.89332,2.0
23,1.0,549.05,1451765795917.0,19.65055,31.58969,13.07072,1.0
27,1.0,535.0,1451765849275.0,86.79902,25.22514,12.10964,2.0
32,1.0,507.92,1451765882633.0,31.30695,34.11183,3.8016,1.0
32,1.0,512.56,1451765877994.0,89.41254,27.10757,10.60792,2.0
37,1.0,505.0,1451765910272.0,18.07844,25.74104,9.59907,1.0
37,1.0,505.0,1451765924712.0,18.38884,25.5223,9.72966,1.0
47,1.0,474.78,1451766107464.0,17.64465,13.38012,3.7989,1.0
50,1.0,441.26,1451766140823.0,4.96311,41.78506,11.15528,1.0
53,1.0,429.0,1451766180781.0,74.58863,25.01093,7.93796,2.0
55,1.0,411.39,1451766207340.0,4.30859,22.69823,6.3129,1.0
58,1.0,383.34,1451766235299.0,17.78768,17.86714,14.12974,1.0
58,1.0,389.96,1451766228699.0,87.92937,46.73876,5.16786,2.0
61,1.0,362.51,1451766256058.0,82.21938,45.19926,11.08926,2.0
63,1.0,336.62,1451766281856.0,82.66605,5.15013,8.3114,2.0
67,1.0,302.27,1451766316095.0,89.2274,24.9486,8.88121,2.0
73,1.0,273.09,1451766359894.0,85.77585,29.40131,9.65597,2.0
73,1.0,262.89,1451766370013.0,87.37156,24.66814,10.37757,2.0
78,1.0,245.62,1451766387132.0,24.87406,9.67751,5.55435,1.0
79,1.0,222.58,1451766409971.0,15.83549,27.63562,11.19733,1.0
81,1.0,200.6,1451766431771.0,88.74898,20.56491,8.06586,2.0
88,1.0,179.34,1451766538805.0,70.28359,29.97771,7.82396,2.0
89,1.0,161.74,1451766556525.0,28.89347,15.86803,2.27465,1.0
93,1.0,131.61,1451766599442.0,20.51911,35.94013,10.86062,1.0
97,1.0,103.84,1451766627322.0,82.40751,22.73131,4.80334,2.0
104,1.0,79.0,1451766718118.0,17.47067,25.43324,10.72026,1.0
109,1.0,55.94,1451766745557.0,10.90639,20.51772,13.38638,1.0
112,1.0,46.74,1451766754836.0,68.8474,21.74011,2.70589,2.0
119,1.0,38.7,1451766801834.0,89.60781,26.44103,5.34109,2.0
119,1.0,38.7,1451766814434.0,79.52446,25.23927,12.13044,2.0
123,1.0,27.71,1451766828713.0,7.0529,25.03885,11.80919,1.0
125,1.0,4.99,1451766851352.0,84.69464,27.62119,7.20921,2.0
135,2.0,707.0,1451767089781.0,17.6759,25.28365,10.17581,1.0
140,2.0,693.94,1451767107141.0,88.36494,18.06993,10.30064,2.0
143,2.0,679.49,1451767121420.0,6.14346,24.95735,10.67873,1.0
147,2.0,641.8,1451767180098.0,9.55587,22.7829,11.79731,1.0
147,2.0,638.83,1451767183058.0,12.90564,36.60296,3.62847,1.0
155,2.0,623.0,1451767231016.0,85.73151,25.21354,12.16451,2.0
155,2.0,622.0,1451767248375.0,74.49365,24.8476,7.6281,2.0
163,2.0,615.0,1451767291093.0,18.3085,25.154,8.67572,1.0
167,2.0,596.5,1451767313892.0,88.22161,24.79608,11.69428,2.0
171,2.0,577.0,1451767362370.0,18.06843,25.02867,9.73347,1.0
175,2.0,554.32,1451767390489.0,7.7598,27.75406,8.12219,1.0
175,2.0,564.42,1451767380449.0,87.44282,31.26797,6.00186,2.0
181,2.0,514.18,1451767430367.0,27.62964,38.28271,6.74275,1.0
190,2.0,489.07,1451767616119.0,88.18831,26.19494,11.35634,2.0
193,2.0,472.96,1451767632197.0,16.50566,31.53034,4.17548,2.0
199,2.0,453.6,1451767725394.0,13.40722,17.82322,13.93195,1.0
204,2.0,428.03,1451767776633.0,85.34378,43.78955,8.36868,2.0
205,2.0,407.39,1451767797031.0,5.26937,24.38599,10.65845,1.0
212,2.0,373.26,1451767847269.0,11.26789,32.56043,13.63492,1.0
212,2.0,379.69,1451767840909.0,82.7086,16.28196,12.68979,2.0
225,2.0,356.0,1451768041501.0,74.16126,25.72975,7.02898,2.0
225,2.0,356.0,1451768057580.0,88.92448,25.37378,9.86868,2.0
230,2.0,331.83,1451768098378.0,28.58461,24.97378,2.37134,1.0
233,2.0,307.33,1451768122857.0,85.15301,24.53877,12.71066,2.0
236,2.0,292.75,1451768157015.0,33.80367,28.17943,0.06921,1.0
237,2.0,288.0,1451768202574.0,18.85512,25.54935,8.53201,1.0
243,2.0,273.88,1451768218453.0,82.23668,40.27235,6.56574,2.0
251,2.0,242.0,1451768311888.0,18.08876,25.74185,9.25372,1.0
251,2.0,242.0,1451768328128.0,18.43063,25.7833,9.27879,1.0
256,2.0,226.34,1451768347847.0,85.5982,23.85288,11.80238,2.0
260,2.0,201.75,1451768391245.0,88.95525,25.11828,8.8983,2.0
265,2.0,202.0,1451768420805.0,17.40686,24.12825,9.29708,1.0
265,2.0,202.0,1451768436523.0,17.15524,24.23241,9.34003,1.0
271,2.0,187.9,1451768455443.0,86.8,45.84594,3.48906,2.0
279,2.0,172.0,1451768662193.0,19.09583,25.11468,6.05103,1.0
279,2.0,172.0,1451768679633.0,10.98094,24.88292,13.02076,1.0
284,2.0,156.25,1451768699632.0,88.13786,37.19049,11.87143,2.0
288,2.0,112.57,1451768788948.0,7.72021,25.9438,8.54388,1.0
288,2.0,118.52,1451768783228.0,84.10878,23.55696,8.44034,2.0
292,2.0,102.0,1451768816147.0,75.63296,24.7676,8.01262,2.0
298,2.0,89.8,1451768853466.0,11.4405,4.28089,4.81869,1.0
299,2.0,71.63,1451768871825.0,72.70868,35.06844,8.54025,2.0
300,2.0,49.83,1451768893864.0,5.40624,46.20154,8.11985,1.0
303,2.0,31.83,1451768961701.0,8.99349,19.08241,2.86717,1.0
303,2.0,36.3,1451768955021.0,88.95475,25.24973,9.86792,2.0
310,2.0,12.08,1451768984900.0,88.45469,23.79009,10.86137,2.0
317,3.0,707.11,1451769947818.0,78.18462,47.24434,6.90009,2.0
319,3.0,691.8,1451769962898.0,12.2582,23.17908,11.34076,1.0
319,3.0,689.89,1451769964778.0,13.22166,26.96182,0.71428,1.0
322,3.0,675.3,1451769979137.0,81.09858,10.05713,7.96549,2.0
325,3.0,655.72,1451770017056.0,68.82588,38.64873,6.81101,2.0
327,3.0,629.81,1451770042894.0,15.92001,5.61186,0.8668,1.0
327,3.0,621.34,1451770051334.0,9.90762,44.1761,12.41477,1.0
332,3.0,598.27,1451770083413.0,5.30468,23.88409,9.61414,1.0
340,3.0,596.0,1451770324521.0,19.26123,25.01212,8.10081,1.0
340,3.0,596.0,1451770339841.0,19.17701,25.14316,8.24572,1.0
350,3.0,562.52,1451770395240.0,8.63513,3.04817,7.89246,1.0
355,3.0,540.12,1451770417798.0,87.1194,3.86825,2.34153,2.0
358,3.0,515.45,1451770442637.0,8.18557,25.47354,12.64441,1.0
365,3.0,458.84,1451770521554.0,4.85511,24.99266,9.76678,1.0
368,3.0,434.45,1451770545713.0,89.91276,23.08149,10.11203,2.0
370,3.0,421.65,1451770558392.0,27.37486,24.25315,9.72849,1.0
375,3.0,407.74,1451770719546.0,83.96355,25.56568,8.34132,2.0
377,3.0,394.32,1451770732785.0,9.50713,25.14895,13.17907,1.0
380,3.0,365.11,1451770761623.0,10.65597,25.29115,12.53407,1.0
383,3.0,359.0,1451770839540.0,16.45963,25.06073,10.58369,1.0
388,3.0,339.71,1451770863899.0,83.29467,30.61189,6.17854,2.0
391,3.0,338.0,1451770896777.0,88.73026,25.01812,9.93874,2.0
401,3.0,302.0,1451770962015.0,6.37915,24.96591,10.94618,1.0
403,3.0,279.0,1451771037451.0,75.68645,24.93599,8.62666,2.0
405,3.0,279.0,1451771050331.0,80.72972,24.71971,12.63371,2.0
405,3.0,279.0,1451771068370.0,74.71301,24.57531,7.68262,2.0
416,3.0,252.05,1451771097810.0,64.20921,29.18314,2.936,2.0
417,3.0,233.77,1451771116048.0,4.22026,46.67992,9.50277,1.0
420,3.0,201.38,1451771148367.0,8.11859,23.47818,11.73352,1.0
420,3.0,192.57,1451771157167.0,88.24301,24.68582,11.19921,2.0
428,3.0,170.37,1451771373557.0,3.65622,39.3534,10.41018,1.0
435,3.0,146.21,1451771415316.0,84.44707,26.34939,12.50744,2.0
437,3.0,141.0,1451771443473.0,17.66458,24.65889,10.40665,1.0
443,3.0,129.81,1451771485472.0,3.80834,47.95153,7.52949,1.0
446,3.0,114.64,1451771500672.0,79.66805,24.82693,9.67682,2.0
447,3.0,99.47,1451771515871.0,34.22376,20.56785,2.83099,1.0
448,3.0,82.24,1451771549950.0,87.77341,25.21023,8.94339,2.0
448,3.0,80.52,1451771551669.0,88.79394,27.42377,9.85922,2.0
458,3.0,36.32,1451771610986.0,8.48181,16.59693,8.33031,1.0
462,3.0,26.6,1451771654386.0,74.77405,24.50616,7.82686,2.0
464,3.0,6.26,1451771686143.0,27.57392,22.55669,11.6096,1.0
472,4.0,685.41,1451771907174.0,86.77181,24.02916,8.01322,2.0
475,4.0,668.72,1451771941373.0,9.05176,22.31673,12.70866,1.0
479,4.0,635.61,1451771993051.0,19.91915,6.07932,2.91323,1.0
486,4.0,590.7,1451772221601.0,14.96989,32.37393,14.09156,1.0
491,4.0,579.0,1451772273758.0,85.68046,24.90047,12.72123,2.0
495,4.0,543.0,1451772363914.0,75.37871,24.8151,7.99147,2.0
499,4.0,533.12,1451772380394.0,5.25452,25.82357,10.59224,1.0
501,4.0,520.36,1451772393593.0,88.65605,36.18244,10.17424,2.0
507,4.0,504.0,1451772516868.0,17.41255,25.01695,8.62389,1.0
509,4.0,484.81,1451772540827.0,88.92863,25.59049,10.32686,2.0
510,4.0,465.1,1451772560585.0,8.29707,21.87739,7.86647,1.0
514,4.0,438.65,1451772605144.0,26.77596,13.1521,0.75895,1.0
515,4.0,423.02,1451772620664.0,88.63801,21.59947,8.94345,2.0
517,4.0,402.88,1451772640663.0,29.7707,13.23647,3.54141,1.0
517,4.0,397.97,1451772645542.0,9.33051,24.4845,4.44135,1.0
522,4.0,373.92,1451772669422.0,28.72942,26.95442,4.90502,1.0
529,4.0,353.97,1451772835174.0,86.39846,22.0694,9.86902,2.0
531,4.0,336.51,1451772852493.0,14.51119,27.68523,9.60375,1.0
532,4.0,322.64,1451772866253.0,89.3345,24.70593,11.26024,2.0
533,4.0,304.46,1451772884292.0,10.4476,25.15728,12.21443,1.0
535,4.0,288.78,1451772899852.0,85.55658,28.15454,12.15159,2.0
539,4.0,263.94,1451772948330.0,4.80993,23.5663,9.67662,1.0
539,4.0,260.92,1451772951250.0,27.20356,11.66462,8.47717,1.0
543,4.0,246.26,1451772989727.0,3.38644,32.99377,14.18773,1.0
543,4.0,238.36,1451772997647.0,88.76756,26.03583,10.88802,2.0
549,4.0,216.14,1451773019926.0,7.76058,12.53346,12.38042,1.0
550,4.0,201.5,1451773034605.0,69.42421,38.76761,2.21105,2.0
555,4.0,175.0,1451773224997.0,9.72331,25.14215,13.12488,1.0
555,4.0,175.0,1451773237517.0,10.33089,24.69731,12.99,1.0
559,4.0,160.78,1451773255036.0,66.78775,14.0244,3.8441,2.0
561,4.0,143.79,1451773271795.0,12.57596,33.16668,14.26034,1.0
565,4.0,113.27,1451773349913.0,87.59433,21.46153,6.93088,2.0
567,4.0,92.36,1451773370951.0,14.87249,46.80984,6.36406,1.0
571,4.0,61.8,1451773423349.0,5.2741,25.97007,10.41159,1.0
578,4.0,39.0,1451773494546.0,88.69114,25.30645,10.05274,2.0
585,4.0,24.78,1451773711816.0,88.80314,24.26808,10.47536,2.0
